id,latitude,longitude,name,display_name,zone,total_lines,rail,borough,comments,borough code
61,51.4957,-0.0144,Crossharbour & London Arena,Crossharbour & London Arena,2,1,0,Tower Hamlets,,
70,51.5223,-0.0173,Devons Road,Devons Road,2,1,0,Tower Hamlets,,
79,51.5093,-0.0021,East India,East India,2.5,1,0,Tower Hamlets,,
120,51.5033,-0.0215,Heron Quays,Heron Quays,2,1,0,Tower Hamlets,,
135,51.4871,-0.0101,Island Gardens,Island Gardens,2,1,0,Tower Hamlets,,
155,51.5123,-0.0396,Limehouse,NULL,2,1,1,Tower Hamlets,,
164,51.5249,-0.0332,Mile End,Mile End,2,3,0,Tower Hamlets,,
171,51.4902,-0.0145,Mudchute,NULL,2,1,0,Tower Hamlets,,
201,51.5077,-0.0173,Poplar,NULL,2,1,0,Tower Hamlets,,
225,51.5117,-0.056,Shadwell,NULL,2,2,0,Tower Hamlets,,
228,51.5227,-0.0708,Shoreditch,NULL,2,1,0,Tower Hamlets,,
238,51.5007,-0.0191,South Quay,South Quay,2,1,0,Tower Hamlets,,
244,51.5221,-0.047,Stepney Green,Stepney Green,2,2,0,Tower Hamlets,,
262,51.5106,-0.0743,Tower Gateway,Tower Gateway,1,1,0,Tower Hamlets,,
263,51.5098,-0.0766,Tower Hill,Tower Hill,1,2,0,Tower Hamlets,,
276,51.5043,-0.0558,Wapping,NULL,2,1,0,Tower Hamlets,,
284,51.5097,-0.0265,Westferry,NULL,2,1,0,Tower Hamlets,,
292,51.507,-0.0203,West India Quay,West India Quay,2,1,0,Tower Hamlets,,
295,51.5194,-0.0612,Whitechapel,NULL,2,3,0,Tower Hamlets,,
26,51.5867,-0.0417,Blackhorse Road,Blackhorse Road,3,1,1,Waltham Forest,,
153,51.5566,-0.0053,Leyton,NULL,3,1,0,Waltham Forest,,
154,51.5683,0.0083,Leytonstone,NULL,3.5,1,0,Waltham Forest,,
274,51.583,-0.0195,Walthamstow Central,Walthamstow Central,3,1,1,Waltham Forest,,
12,51.4431,-0.1525,Balham,NULL,3,1,1,Wandsworth,,
80,51.4586,-0.2112,East Putney,East Putney,2.5,1,0,Wandsworth,,
231,51.4454,-0.2066,Southfields,NULL,3,1,0,Wandsworth,,
257,51.4361,-0.1598,Tooting Bec,Tooting Bec,3,1,0,Wandsworth,,
258,51.4275,-0.168,Tooting Broadway,Tooting Broadway,3,1,0,Wandsworth,,
11,51.5226,-0.1571,Baker Street,Baker Street,1,5,0,Westminster,,
18,51.5121,-0.1879,Bayswater,NULL,1,2,0,Westminster,,
28,51.5142,-0.1494,Bond Street,Bond Street,1,2,0,Westminster,,
49,51.508,-0.1247,Charing Cross,Charing Cross,1,2,1,Westminster,,
60,51.5129,-0.1243,Covent Garden,Covent Garden,1,1,0,Westminster,,
82,51.5199,-0.1679,Edgware Road (B),Edgware Road,1,1,0,Westminster,,
83,51.5203,-0.17,Edgware Road (C),Edgware Road,1,3,0,Westminster,,
87,51.5074,-0.1223,Embankment,NULL,1,4,0,Westminster,,
104,51.5238,-0.1439,Great Portland Street,Great Portland Street,1,3,0,Westminster,,
107,51.5067,-0.1428,Green Park,Green Park,1,3,0,Westminster,,
133,51.5027,-0.1527,Hyde Park Corner,Hyde Park Corner,1,1,0,Westminster,,
149,51.5119,-0.1756,Lancaster Gate,Lancaster Gate,1,1,0,Westminster,,
151,51.5113,-0.1281,Leicester Square,Leicester Square,1,2,0,Westminster,,
159,51.53,-0.1854,Maida Vale,Maida Vale,2,1,0,Westminster,,
162,51.5136,-0.1586,Marble Arch,Marble Arch,1,1,0,Westminster,,
163,51.5225,-0.1631,Marylebone,NULL,1,1,1,Westminster,,
192,51.515,-0.1415,Oxford Circus,Oxford Circus,1,3,0,Westminster,,
193,51.5154,-0.1755,Paddington,NULL,1,4,1,Westminster,,
197,51.5098,-0.1342,Piccadilly Circus,Piccadilly Circus,1,2,0,Westminster,,
198,51.4893,-0.1334,Pimlico,NULL,1,1,0,Westminster,,
208,51.5107,-0.1877,Queensway,NULL,1,1,0,Westminster,,
212,51.5234,-0.1466,Regent's Park,Regent's Park,1,1,0,Westminster,,
218,51.519,-0.188,Royal Oak,Royal Oak,2,1,0,Westminster,,
229,51.4924,-0.1565,Sloane Square,Sloane Square,1,2,0,Westminster,,
248,51.4994,-0.1335,St. James's Park,St. James's Park,1,2,0,Westminster,,
249,51.5347,-0.174,St. John's Wood,St. John's Wood,2,1,0,Westminster,,
255,51.5111,-0.1141,Temple,NULL,1,2,0,Westminster,,
259,51.5165,-0.131,Tottenham Court Road,Tottenham Court Road,1,2,0,Westminster,,
273,51.4965,-0.1447,Victoria,NULL,1,3,1,Westminster,,
278,51.5235,-0.1835,Warwick Avenue,Warwick Avenue,2,1,0,Westminster,,
283,51.521,-0.2011,Westbourne Park,Westbourne Park,2,1,0,Westminster,,
285,51.501,-0.1254,Westminster,NULL,1,3,0,Westminster,,
23,51.4979,-0.0637,Bermondsey,NULL,2,1,0,Westminster,,
